no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
198,N3,印,도장 인,"""도장 인"". 도장",イン,しるし,"印 = 𠀉 + 卩。 𠀉는「⺤」를 옆으로 돌린 것으로, ""손""을 뜻합니다. 「卩」는 ""무릎꿇은 사람""을 뜻합니다. 印는 ""무릎꿇은 사람(卩)의 머리를 찍어누르다(𠀉)"" -> ""누르다"" -> ""도장""이라는 뜻의 글자입니다.",음독은 イン입니다. 특별한 점은 없습니다.,"印는 ""표시, 증표, 기호""를 뜻합니다.",no
199,N3,王,임금 왕,"""임금 왕"". 왕",オウ,,"王는 ""권위를 상징하는 거대한 도끼""를 그린 상형문자입니다. ""권위의 상징"" -> ""우두머리"" -> ""왕""이라는 의미입니다.",음독은 オウ입니다. 특별한 점은 없습니다.,王의 정식 훈독은 없습니다.,no
200,N3,返,돌이킬 반,"""돌이킬 반"". 돌아오다, 반사하다, 갚다",ヘン,かえ(す)、かえ(る),"返 = ⻌ + 反。 「⻌」는 ""길""을 뜻합니다. 「反」는 ""돌이키다, 뒤집다""라는 뜻입니다. 返는 ""가던 길(⻌)을 되돌아오다(反)"" -> ""돌아오다, 반사하다, 갚다""라는 뜻의 글자입니다.",음독은 ヘン입니다. 특별한 점은 없습니다.,"返す는 ""되돌리다, 돌리다""라는 뜻의 타동사입니다. 返る는 ""되돌아가다, 되돌아오다""라는 뜻의 1그룹 자동사입니다.",no
201,N3,標,표할 표,"""표할 표"". 표시, 표지",ヒョウ,,"標 = 木 + 覀 + 示。 「木」는 ""나무""를 뜻합니다. 「示」는 ""고대의 비석""을 뜻합니다. 覀는 여기서는 ""위패""를 그린 모양자입니다. 標는 ""신성한 나무(木) 옆에 비석(示)을 세우고 위패(覀)를 올려 표시해두다"" -> ""표시, 표지""라는 뜻의 글자입니다.",음독은 ヒョウ입니다. 특별한 점은 없습니다.,標의 정식 훈독은 없습니다.,no
202,N3,油,기름 유,"""기름 유"". 기름",ユ,あぶら,"油 = 氵 + 由。 (의미부)「氵」는 ""물""을 뜻합니다. (소리부 겸 의미부)「由」(ユ)는 본래 ""촛불""을 그린 상형문자입니다(링크 참조). 油는 ""등잔불(由)의 연료가 되는 액체(氵)"" -> ""기름""이라는 뜻의 글자입니다. (由는 소리부도 겸함)",음독은 ユ입니다. 특별한 점은 없습니다.,"油는 ""기름""을 뜻합니다.",no
203,N3,輪,바퀴 륜,"""바퀴 륜"". 바퀴",リン,わ,"輪 = 車 + 侖。 (의미부)「車」는 ""수레, 차""를 뜻합니다. (소리부  겸 의미부)「侖」(リン)은 ""둥글게 말린 죽간""을 그린 글자입니다(링크 참조). 輪는 ""둥근(侖) 수레바퀴(車)"" -> ""바퀴""라는 뜻의 글자입니다. (侖는 소리부도 겸함)",음독은 リン입니다. 특별한 점은 없습니다.,"輪는 ""고리, 바퀴, 원형""을 뜻합니다.",no
204,N3,植,심을 식,"""심을 식"". 심다",ショク,う(える)、う(わる),"植 = 木 + 直。 (의미부)「木」는 ""나무""를 뜻합니다. (소리부 겸 의미부)「直」(チョク)는 ""곧다""라는 뜻입니다. 植는 ""나무(木)를 곧게(直) 심다"" -> ""심다""라는 뜻의 글자입니다. (直는 소리부(チョク -> ショク)도 겸함)",음독은 ショク입니다. 특별한 점은 없습니다.,"植える는 ""심다""라는 뜻의 2그룹 타동사입니다. 植わる는 ""심어지다, 심기다""라는 뜻의 자동사입니다.",no
205,N3,坴,더울 열,"""더울 열"". 열기, 뜨겁다",ネツ,あつ(い),"「坴+丸」 熱 =坴 + 丸+ 灬。 「坴」는 ""흙더미""를 뜻하는 글자입니다(링크 참조). 丸는 여기서는 ""땅(坴)에 나무를 심고 있는 사람""을 그린 모양자입니다(위 그림 참조). 「灬」는 ""불""을 뜻합니다. 熱는 ""땅(坴)에 심어놓은(丸) 나무를 태우다(灬)""-> ""뜨겁다""라는 뜻의 글자입니다.",음독은 ネツ입니다. 특별한 점은 없습니다.,"熱い는 ""뜨겁다""라는 뜻의 형용사입니다.",no
206,N3,宿,잘 숙,"""잘 숙"". 여관, 머무르다",シュク,やど、やど(る)、やど(す),"宿 = 宀 + 亻 + 百。 「宀」는 ""집""을 뜻합니다. 「亻」는 ""사람""을 뜻합니다. 「百」는 ""100""을 뜻합니다. 宿는 ""백 명(百)의 사람(亻)이묵을 수 있는 커다란 집(宀)"" -> ""여관, 숙소, 머무르다""라는 뜻의 글자입니다.",음독은 シュク입니다. 특별한 점은 없습니다.,"宿는 ""숙소, 여관""을 뜻합니다. 宿す는 ""잉태하다, 품다""라는 뜻의 타동사입니다. 宿る는 ""머무르다, 숙박하다""라는 뜻의 자동사입니다.",no
207,N3,清,맑을 청,"""맑을 청"". 맑다, 깨끗하다",セイ、ショウ,きよ(い)、きよ(まる)、きよ(める),"清 = 氵 + 青。 (의미부)「氵」는 ""물""을 뜻합니다. (소리부 겸 의미부)「青」(セイ・ショウ)는 ""푸르다""라는 뜻입니다. 清는 ""푸르고 깨끗한(青) 물(氵)"" -> ""맑다, 깨끗하다""라는 뜻의 글자입니다. (青는 소리부도 겸함)",음독은 セイ、ショウ입니다. 그러나 절대다수는 セイ로 읽습니다. ショウ는 일부 예외적인 단어에만 쓰이는 음독입니다.,"清い는 ""맑다, 깨끗하다""라는 뜻의 형용사입니다. 清まる는 ""맑아지다""라는 뜻의 자동사입니다. 清める는 ""깨끗이 하다""라는 뜻의 2그룹 타동사입니다.",no
208,N3,覚,깨달을 각,"""깨달을 각"". 깨닫다, 눈뜨다, 기억하다",カク,おぼ(える)、さ(ます)、さ(める),"覚 = ⺍ + 冖 + 見。 「⺍＋冖」는 ""불이 환하게 켜진 집""을 뜻합니다. 「見」는 ""보다""라는 뜻입니다. 覚는 ""환한 불빛(⺍+冖)으로 어둠을 밝히고 보다(見)"" -> ""깨달음, 눈뜨다, 기억하다""라는 뜻의 글자입니다.",음독은 カク입니다. 특별한 점은 없습니다.,"1.覚える 覚える는 ""기억하다""라는 뜻의 2그룹 타동사입니다. 예문) よく覚えていない 잘 기억하고 있지 않다 2.覚める、覚ます 覚める는 ""잠을 깨다, 눈이 뜨이다""라는 뜻의 2그룹 자동사입니다. 覚ます는 ""깨다, 깨우다""라는 뜻의 타동사입니다. 예문) 朝早く目が覚める 아침 일찍 잠이 깨다 雨の音に目を覚ました 빗소리에 눈을 떴다(잠에서 깼다)",no
209,N3,船,배 선,"""배 선"". 선박",セン,ふね、ふな,"船 = 舟 + 㕣。 舟(""배 주"")는 ""배""를 뜻하는 상용한자입니다. 舟는 ""노를 저어 움직이는 작은 조각배""를 그린 상형문자입니다. 㕣는 여기서는 ""작은 배""를 그린 모양자입니다. 船는 ""배 두 척(舟+㕣) 만큼 큰 배"" -> ""선박""이라는 뜻의 글자입니다. (船는 보통 舟보다 크기가 큰 배를 뜻하는 경우가 많습니다.)",음독은 セン입니다. 특별한 점은 없습니다.,"船는 ""배""를 뜻합니다.",no
210,N3,倍,곱 배,"""곱 배"". 2배",バイ,,"倍 = 亻 + 咅。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)「咅」(バイ)는 ""화분 위의 화초""를 뜻합니다. 倍는 ""사람(亻)이 화초(咅)에 물을 줘서 두 배로 키우다"" -> ""2배""라는 뜻의 글자입니다. (咅는 소리부도 겸함)",음독은 バイ입니다. 특별한 점은 없습니다.,倍의 정식 훈독은 없습니다.,no
211,N3,億,억 억,"""억 억"". 1억",オク,,"億 = 亻 + 意。 「亻」는 ""사람""을 뜻합니다. 「意」는 ""뜻, 생각, 의미""를 뜻합니다. 億는 ""사람(亻)의 머릿속에는 수많은 생각(意)이 있다"" -> ""많다"" -> ""1억""이라는 뜻의 글자입니다.",음독은 オク입니다. 특별한 점은 없습니다.,億의 정식 훈독은 없습니다.,no
212,N3,芸,재주 예,"""재주 예"". 재주, 예술",ゲイ,,"芸 = 艹 + 云。 「艹」는 ""풀""을 뜻합니다. 「云」는 ""구름""을 뜻합니다. 芸는 ""구름(云)위를 노니는 듯 아름다운 정원(艹)을 가꾸다"" -> ""예술, 재주""라는 뜻의 글자입니다.",음독은 ゲイ입니다. 특별한 점은 없습니다.,芸의 정식 훈독은 없습니다.,no
213,N3,停,머무를 정,"""머무를 정"". 정지, 멈추다",テイ,,"停 = 亻 + 亭。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)亭(テイ - ""정자 정"")은 ""정자""를 뜻하는 상용한자입니다. 亭는 ""작은 정자""를 그린 상형문자입니다. 停는 ""나그네(亻)가 정자(亭)에 머물러 쉬다"" -> ""멈추다, 머무르다""라는 뜻의 글자입니다. (亭는 소리부도 겸함)",음독은 テイ입니다. 특별한 점은 없습니다.,停의 정식 훈독은 없습니다.,no
214,N3,陸,뭍 육,"""뭍 육"". 육지",リク,,"陸 = ⻖ + 坴。 「⻖」는 ""언덕, 산""을 뜻합니다. 「坴」는 ""흙더미""를 뜻합니다. 陸는 ""흙이 쌓인(坴) 언덕(⻖)"" -> ""뭍, 육지""라는 뜻의 글자입니다.",음독은 リク입니다. 특별한 점은 없습니다.,陸의 정식 훈독은 없습니다.,no
215,N3,玉,구슬 옥,"""구슬 옥"". 구슬, 보석",ギョク,たま,"玉는 ""구슬을 실에 꿰어놓은 모습""을 그린 상형문자입니다.",음독은 ギョク입니다. 특별한 점은 없습니다.,"玉는 ""방울, 공, 둥근 것, 옥, 보석"" 등을 뜻합니다.",no
216,N3,波,물결 파,"""물결 파"". 물결, 파동",ハ,なみ,"波 = 氵 + 皮。 (의미부)「氵」는 ""물""을 뜻합니다. (소리부 겸 의미부)皮(ヒ - ""가죽 피"")는 ""표면, 가죽, 껍질""을 뜻하는 상용한자입니다. 皮 =厂 +丨 +又。 厂+丨는 여기서는 ""동물의 가죽(厂)과 뿔(丨)""을 그린 모양자입니다. 「又」는 ""손""을 뜻합니다. 皮는 ""동물의 가죽(厂+丨)을 벗기다(又)"" -> ""가죽, 껍질, 표면""이라는 뜻의 글자입니다. 波는 ""물(氵)의 표면(皮)을 따라 퍼지는 물결"" -> ""물결, 파동""이라는 뜻의 글자입니다. (皮는 소리부(ヒ -> ハ)도 겸함)",음독은 ハ입니다. 특별한 점은 없습니다.,"波는 ""파도, 물결""을 뜻합니다.",no
217,N3,帯,띠 대,"""띠 대"". 허리띠, 휴대하다, 지역",タイ,お(びる)、おび,"帯 = 丗 + 冖 + 巾。 丗+冖는 여기서는 ""장식(丗)이 달린 허리띠(冖)""를 그린 모양자입니다. 「巾」는 ""수건, 천""을 뜻합니다. 帯는 ""장식이 달린 허리띠(丗+冖)를 옷(巾) 위에 두르다"" -> ""허리띠, 두르다, 휴대하다""라는 뜻의 글자입니다.",음독은 タイ입니다. 특별한 점은 없습니다.,"帯는 ""띠""를 뜻합니다. 帯びる는 ""(몸/허리 등에) 차다/지니다, (성질/경향 등을) 띠다/머금다""라는 뜻의 2그룹 타동사입니다. 예문) 帯を締める 띠를 매다 太刀を帯びる (허리에) 칼을 차다 空が赤みを帯びていた 하늘이 붉은 빛을 띠고 있었다 強い磁気を帯びる 강한 자기를 띠다",no
218,N3,羽,깃 우,"""깃 우"". 깃털, 날개",ウ,は、はね,"羽는 ""깃털이 달린 새의 날개""를 그린 상형문자입니다.",음독은 ウ입니다. 특별한 점은 없습니다.,"羽는 ""날개, 깃털""을 뜻합니다.",no
219,N3,努,힘쓸 노,"""힘쓸 노"". 힘쓰다, 노력하다",ド,つと(める),"努 = 女 + 又 + 力。 「女」는 ""여자""를 뜻합니다. 「又」는 ""손""을 뜻합니다. 「力」는 ""힘""을 뜻합니다. 努는 ""여자(女)를 손(又)에 넣기 위해 열심히 노력하다(力)"" -> ""힘쓰다, 노력하다""라는 뜻의 글자입니다.",음독은 ド입니다. 특별한 점은 없습니다.,"努める는 ""힘쓰다, 노력하다, 애쓰다""라는 뜻의 2그룹 자동사입니다.",no
