no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1925,N1,衷,속마음 충,"""속마음 충"". 한가운데, 속마음",チュウ,,"衷 = 中 + 衣。 (소리부 겸 의미부)「中」(チュウ)는 ""가운데""를 뜻합니다. (의미부)「衣」는 ""옷""을 뜻합니다. 衷는 ""옷(衣)의 가운데 부분(中)"" -> ""한가운데, 속마음""이라는 뜻의 글자입니다. (中는 소리부도 겸함)",음독은 チュウ입니다. 특별한 점은 없습니다.,衷의 정식 훈독은 없습니다.,no
1926,N1,逐,쫓을 축,"""쫓을 축"". 쫓아내다",チク,,"逐 = ⻌ + 豕。 「⻌」는 ""길""을 뜻합니다. 「豕」는 ""돼지""를 뜻합니다. 逐는 ""사람에게 쫓겨 달아나는(⻌)멧돼지(豕)"" -> ""쫓아내다""라는 뜻의 글자입니다.",음독은 チク입니다. 특별한 점은 없습니다.,逐의 정식 훈독은 없습니다.,no
1927,N1,斥,물리칠 척,"""물리칠 척"". 물리치다, 배척하다",セキ,,"斥 = 斤 +丶。 「斤」는 ""도끼""를 뜻합니다. 丶는 여기서는 ""도끼에 베인 자국""을 그린 모양자입니다. 斥는 ""도끼(斤)로 베어버리다(丶)"" -> ""내쫓다, 물리치다""라는 뜻의 글자입니다.",음독은 セキ입니다. 특별한 점은 없습니다.,斥의 정식 훈독은 없습니다.,no
1928,N1,詔,조서 조,"""조서 조"". 칙령, 조서",ショウ,みことのり,"詔 = 言 + 召。 (의미부)「言」는 ""말하다""라는 뜻입니다. (소리부 겸 의미부)「召」(ショウ)는 ""부르다, 소환""이라는 뜻입니다. 詔는 ""황제가 신하를 불러서(召) 명령을 내리다(言)"" -> ""칙령, 조서""라는 뜻의 글자입니다. (召는 소리부도 겸함)",음독은 ショウ입니다. 특별한 점은 없습니다.,"詔는 ""조칙""을 뜻합니다.",no
1929,N1,憧,동경할 동,"""동경할 동"". 동경하다",ショウ,あこが(れる),"憧 = 忄 + 童。 「忄」는 ""마음""을 뜻합니다. 「童」는 ""아이""를 뜻합니다. 憧는 ""어른을 동경하는 아이(童)의 마음(忄)"" -> ""동경하다""라는 뜻의 글자입니다.",음독은 ショウ입니다. 특별한 점은 없습니다.,"憧れる는 ""동경하다, 그리워하다""라는 뜻의 2그룹 자동사입니다. 예문) 彼女は兄に憧れている 그녀는 오빠를 동경하고 있다 田舎暮らしに憧れる 시골 생활을 동경하다 未知の世界に憧れる 미지의 세계를 동경하다",no
1930,N1,宵,밤 소,"""밤 소"". 밤, 초저녁",ショウ,よい,"宵 = 宀 + 肖。 (의미부)「宀」는 ""집""을 뜻합니다. (소리부 겸 의미부)「肖」(ショウ)는 여기서는 ""달(月)에서 나는 빛(⺌)""을 표현한 모양자로 쓰인 것입니다. 宵는 ""집(宀)에서 달빛(肖)을 올려다보다"" -> ""밤, 초저녁""이라는 뜻의 글자입니다. (肖는 소리부도 겸함)",음독은 ショウ입니다. 특별한 점은 없습니다.,"宵는 ""초저녁, 저녁""을 뜻합니다.",no
1931,N1,妄,망령될 망,"""망령될 망"". 망령된, 헛된",モウ、ボウ,,"妄 = 亡 + 女。 (소리부 겸 의미부)「亡」(モウ・ボウ)는 ""망하다""라는 뜻입니다. (의미부)「女」는 ""여자""를 뜻합니다. 妄는 ""여자(女)의 망령된(亡) 생각"" -> ""망령된, 헛된""이라는 뜻의 글자입니다. (亡는 소리부도 겸함)",음독은 モウ、ボウ입니다. 사용 빈도는 モウ가 훨씬 높습니다.,妄의 정식 훈독은 없습니다.,no
1932,N1,酌,술 부을 작,"""술 부을 작"". 술을 따르다",シャク,く(む),"酌 = 酉 + 勺。 「酉」는 ""술, 술병""을 뜻합니다. 勺는 여기서는 ""국자""를 그린 모양자입니다. 酌는 ""술병의 술(酉)을 국자(勺)로 퍼서 따르다"" -> ""술을 따르다""라는 뜻의 글자입니다.",음독은 シャク입니다. 특별한 점은 없습니다.,"酌む는 ""(술 따위를) 그릇에 따르다, (타인의 기분/사정 등을) 짐작하다/헤아리다""라는 뜻의 타동사입니다. 예문) 杯を酌み交わす 술잔을 주고받다 相手の意図を酌んで行動する 상대방의 의도를 헤아려 행동하다",no
1933,N1,蚕,누에 잠,"""누에 잠"". 누에",サン,かいこ,"蚕 = 天 + 虫。 「天」는 ""하늘""을 뜻합니다. 「虫」는 ""벌레""를 뜻합니다. 누에는 인간에게 명주실을 제공해주는 소중한 곤충입니다. 蚕는 ""하늘(天)이 내려주신 벌레(虫)"" -> ""누에""라는 뜻의 글자입니다.",음독은 サン입니다. 특별한 점은 없습니다.,"蚕는 ""누에""를 뜻합니다.",no
1934,N1,頒,나눌 반,"""나눌 반"". 나누어주다, 널리 펴다",ハン,,"頒 = 分 + 頁。 (소리부 겸 의미부)「分」(フン)은 ""나누다""라는 뜻입니다. (의미부)「頁」는 ""머리""를 뜻합니다. 頒는 ""잘 생각해서(頁) 나누어주다(分)"" -> ""나누어주다, 널리 펴다""라는 뜻의 글자입니다. (分는 소리부(フン -> ハン)도 겸함)",음독은 ハン입니다. 특별한 점은 없습니다.,頒의 정식 훈독은 없습니다.,no
