no,word,meaning,hiragana,memorized,memorized_at,created_at
26,お祝い,축하 축하선물,おいわい,yes,2026-04-05 23:35:51,2026-04-05 20:11:52
27,我慢,참음,がまん,yes,2026-04-07 22:09:13,2026-04-05 20:11:52
28,間隔,간격,かんかく,yes,2026-04-05 23:28:26,2026-04-05 20:11:52
29,記念,기념,きねん,yes,2026-04-05 23:28:24,2026-04-05 20:11:52
30,癖,버릇 습관,くせ,no,,2026-04-05 20:11:52
31,悔しい,분하다,くやしい,yes,2026-04-05 23:36:00,2026-04-05 20:11:52
32,合計,합계,ごうけい,yes,2026-04-05 23:28:46,2026-04-05 20:11:52
33,覚める,깨다 눈이 뜨이다,さめる,yes,2026-04-06 23:31:09,2026-04-05 20:11:52
34,資源,자원,しげん,yes,2026-04-05 23:28:59,2026-04-05 20:11:52
35,積極的だ,적극적이다,せっきょくてきだ,yes,2026-04-05 23:32:03,2026-04-05 20:11:52
36,テーマ,테마,テーマ,yes,2026-04-05 23:35:56,2026-04-05 20:11:52
37,当日,당일,とうじつ,yes,2026-04-06 23:31:28,2026-04-05 20:11:52
38,パンフレット,팸플릿 소책자,パンフレット,yes,2026-04-05 23:34:30,2026-04-05 20:11:52
39,ぶつける,부딪히다 맞부딪치다,ぶつける,yes,2026-04-07 22:16:38,2026-04-05 20:11:52
40,ふらふら,비틀비틀,ふらふら,yes,2026-04-05 23:32:10,2026-04-05 20:11:52
41,方法,방법,ほうほう,yes,2026-04-05 23:29:04,2026-04-05 20:11:52
42,目標,목표,もくひょう,yes,2026-04-05 23:29:15,2026-04-05 20:11:52
43,料,요금 분량의 접미사,りょう,yes,2026-04-05 23:32:45,2026-04-05 20:11:52
44,分ける,나누다 분배하다,わける,yes,2026-04-05 23:36:08,2026-04-05 20:11:52
45,噂,소문,うわさ,no,,2026-04-05 20:11:52
46,追いつく,따라잡다,おいつく,yes,2026-04-07 22:09:30,2026-04-05 20:11:52
47,おかしい,이상하다,おかしい,yes,2026-04-05 23:32:24,2026-04-05 20:11:52
48,溺れる,(물에) 빠지다,おぼれる,yes,2026-04-07 22:17:26,2026-04-05 20:11:52
49,主に,주로,おもに,yes,2026-04-05 23:29:06,2026-04-05 20:11:52
50,乾く,마르다 건조하다,かわく,yes,2026-04-05 23:29:12,2026-04-05 20:11:52
51,交換,교환,こうかん,yes,2026-04-05 23:29:10,2026-04-05 20:11:52
52,材料,재료,ざいりょう,yes,2026-04-05 23:29:21,2026-04-05 20:11:52
53,自慢,자랑,じまん,yes,2026-04-07 22:09:13,2026-04-05 20:11:52
54,渋滞,정체 밀림,じゅうたい,yes,2026-04-05 23:29:24,2026-04-05 20:11:52
55,畳む,접다 개다,たたむ,yes,2026-04-05 23:29:50,2026-04-05 20:11:52
56,経つ,(시간이나 세월이) 지나다,たつ,yes,2026-04-05 23:29:27,2026-04-05 20:11:52
57,調子,상태 컨디션,ちょうし,yes,2026-04-05 23:29:35,2026-04-05 20:11:52
58,閉じる,닫다 눈을 감다,とじる,yes,2026-04-05 23:36:23,2026-04-05 20:11:52
59,突然,돌연 갑자기,とつぜん,yes,2026-04-05 23:29:30,2026-04-05 20:11:52
60,なるべく,가능한 한 되도록,なるべく,yes,2026-04-05 23:36:53,2026-04-05 20:11:52
61,引き受ける,(일 역할을) 떠맡다,ひきうける,yes,2026-04-05 23:32:19,2026-04-05 20:11:52
62,不安,불안,ふあん,yes,2026-04-05 23:29:55,2026-04-05 20:11:52
63,物価,물가,ぶっか,yes,2026-04-05 23:30:21,2026-04-05 20:11:52
64,別々,따로따로,べつべつ,yes,2026-04-05 23:29:57,2026-04-05 20:11:52
65,緩い,헐렁하다 느슨하다,ゆるい,no,,2026-04-05 20:11:52
66,意志,의지,いし,yes,2026-04-05 23:30:03,2026-04-05 20:11:52
67,応援,응원,おうえん,yes,2026-04-05 23:30:08,2026-04-05 20:11:52
68,起きる,기상하다 발생하다,おきる,yes,2026-04-05 23:36:20,2026-04-05 20:11:52
