no,word,meaning,hiragana,memorized,memorized_at,created_at
62,身に付ける,익히다 몸에 익히다,みにつける,yes,2026-04-07 22:21:45,2026-03-29 01:41:49
63,無駄,낭비 헛됨,むだ,yes,2026-04-05 19:28:05,2026-03-29 01:41:49
64,もったいない,아깝다,もったいない,yes,2026-04-05 19:25:15,2026-03-29 01:41:49
65,翌日,익일 다음날,よくじつ,yes,2026-04-07 22:18:57,2026-03-29 01:41:49
66,囲む,둘러싸다 에워싸다,かこむ,yes,2026-04-07 22:18:49,2026-03-29 01:41:49
67,配達,배달,はいたつ,yes,2026-04-07 22:19:02,2026-03-29 01:41:49
68,比較,비교,ひかく,yes,2026-04-07 22:18:53,2026-03-29 01:41:49
69,引き受ける,맡다,ひきうける,yes,2026-04-07 22:16:18,2026-03-29 01:41:49
70,文句,불만 불평,もんく,yes,2026-04-05 19:28:27,2026-03-29 01:41:49
71,ユーモア,유머,ユーモア,yes,2026-04-05 19:24:51,2026-03-29 01:41:49
72,うろうろ,허둥지둥,うろうろ,yes,2026-04-05 19:24:48,2026-03-29 01:41:49
73,間隔,간격,かんかく,yes,2026-04-05 19:28:47,2026-03-29 01:41:49
74,芸術,예술,げいじゅつ,yes,2026-04-05 19:28:39,2026-03-29 01:41:49
75,早速,즉시,さっそく,yes,2026-04-07 22:19:10,2026-03-29 01:41:49
76,事情,사정,じじょう,yes,2026-04-05 19:28:32,2026-03-29 01:41:49
77,親しい,친하다,したしい,yes,2026-04-05 19:22:13,2026-03-29 01:41:49
78,しまう,치우다,しまう,yes,2026-04-05 19:22:07,2026-03-29 01:41:49
